cep,latitude,longitude,state,city,neighborhood,street
38400001,-18.992836,-48.337149,MG,Uberlandia,IRMA DULCE,RUA 5
38400010,-18.948334,-48.230966,MG,Uberlandia,SAO JORGE,RUA G
38400011,-18.940583,-48.278473,MG,Uberlandia,MORUMBI,RUA DAS GOIABEIRAS
38400012,-18.91278,-48.263554,MG,Uberlandia,CAZECA,RUA HORTENCIO MORAIS
38400013,-18.895627,-48.319212,MG,Uberlandia,TAIAMAN,RUA JOSE HONORATO MENDES
38400014,-18.89987,-48.315088,MG,Uberlandia,CAZECA,RUA CAMILO BRAGA
38400015,-18.91609,-48.266211,MG,Uberlandia,CAZECA,RUA RONDON PACHECO
38400016,-18.905794,-48.291532,MG,Uberlandia,CAZECA,RUA SEGISMUNDO MORAIS
38400018,-18.914631,-48.265346,MG,Uberlandia,CAZECA,RUA JOSE MORAIS
38400019,-18.91654,-48.268079,MG,Uberlandia,CAZECA,AVENIDA RIO BRANCO
38400020,-18.928926,-48.290016,MG,Uberlandia,CAZECA,RUA GERALDO DE MORAIS
38400022,-18.916463,-48.266725,MG,Uberlandia,CAZECA,RUA MARIO REZENDE RIBEIRO
38400023,-18.914976,-48.256649,MG,Uberlandia,CAZECA,RUA IPIRANGA
38400024,-18.915485,-48.26781,MG,Uberlandia,CAZECA,RUA FRANCISCO ZUMPANO
38400026,-18.971752,-48.358294,MG,Uberlandia,LAGO AZUL,RUA JOAO MARQUES TACONPRATA
38400028,-18.917735,-48.267372,MG,Uberlandia,CAZECA,RUA MARIA VILELA RIBEIRO
38400030,-18.939034,-48.305648,MG,Uberlandia,CAZECA,RUA JOAQUIM CORDEIRO
38400032,-18.917322,-48.270669,MG,Uberlandia,CENTRO,TRAVESSA JOSE CAMIM
38400034,-18.928514,-48.289967,MG,Uberlandia,CAZECA,RUA ELMIRO GONCALVES PINTO
38400036,-18.93952,-48.207961,MG,Uberlandia,MARTINESIA,ESTRADA SEM DENOMINACAO
38400038,-18.92999,-48.297742,MG,Uberlandia,MARTINESIA,SEDE FAZENDA CINCO ESTRELAS
38400040,-18.913495,-48.264106,MG,Uberlandia,CAZECA,PRACA ANA MORAIS
38400042,-18.913891,-48.268245,MG,Uberlandia,CENTRO,AVENIDA JOAO NAVES DE AVILA
38400043,-18.913573,-48.243642,MG,Uberlandia,CENTRO,RUA JOAQUIM CORDEIRO
38400044,-18.914372,-48.26413,MG,Uberlandia,CAZECA,RUA PEDRO CROSARA CHERULLI
38400046,-18.914713,-48.263569,MG,Uberlandia,CAZECA,RUA ADELINO FRANCO
38400048,-18.91356,-48.264247,MG,Uberlandia,CAZECA,RUA ANTONIO DE MORAIS
38400049,-18.920533,-48.271192,MG,Uberlandia,LIDICE,RUA QUINTINO BOCAIUVA
38400050,-18.921394,-48.269147,MG,Uberlandia,LIDICE,AVENIDA RONDON PACHECO
38400051,-18.921372,-48.271452,MG,Uberlandia,LIDICE,RUA TENENTE VIRMONDES
38400052,-18.913869,-48.271144,MG,Uberlandia,CAZECA,RUA CRUZEIRO DOS PEIXOTOS
38400053,-18.915369,-48.269181,MG,Uberlandia,CAZECA,AVENIDA JOAO NAVES DE AVILA
38400054,-18.914168,-48.266756,MG,Uberlandia,CAZECA,RUA GREGORIO PEREIRA
38400056,-18.919523,-48.27165,MG,Uberlandia,CENTRO,AVENIDA RIO BRANCO
38400058,-18.917671,-48.269728,MG,Uberlandia,LIDICE,AVENIDA RIO BRANCO
38400060,-18.884027,-48.315319,MG,Uberlandia,UBERLANDIA,RUA DEZOITO
38400062,-18.925636,-48.276543,MG,Uberlandia,LIDICE,RUA SANTOS DUMONT
38400064,-18.921627,-48.281562,MG,Uberlandia,CENTRO,RUA GOIAS
38400066,-18.916816,-48.267464,MG,Uberlandia,CAZECA,RUA JOSE NONATO RIBEIRO
38400068,-18.91911,-48.275804,MG,Uberlandia,LIDICE,RUA EDUARDO DE OLIVEIRA
38400070,-18.928127,-48.280545,MG,Uberlandia,TABAJARAS,RUA JOHEN CARNEIRO
38400072,-18.921124,-48.271193,MG,Uberlandia,LIDICE,RUA JOHEN CARNEIRO
38400073,-18.918621,-48.267459,MG,Uberlandia,LIDICE,RUA JOAQUIM CORDEIRO
38400074,-18.922643,-48.272031,MG,Uberlandia,LIDICE,RUA CARAJAS
38400076,-18.929067,-48.280601,MG,Uberlandia,TABAJARAS,RUA CARAJAS
38400078,-18.923399,-48.275261,MG,Uberlandia,LIDICE,RUA VITAL JOSE CARRIJO
38400080,-18.926742,-48.280084,MG,Uberlandia,TABAJARAS,RUA VITAL JOSE CARRIJO
38400081,-18.922346,-48.272366,MG,Uberlandia,LIDICE,RUA MACHADO DE ASSIS
38400082,-18.922728,-48.271451,MG,Uberlandia,LIDICE,RUA XAVANTES
38400083,-18.922553,-48.274832,MG,Uberlandia,LIDICE,TRAVESSA CRISTO REI
38400084,-18.920114,-48.279805,MG,Uberlandia,CENTRO,RUA OLEGARIO MACIEL
38400086,-18.927018,-48.269175,MG,Uberlandia,VIGILATO PEREIRA,RUA OLEGARIO MACIEL
38400088,-18.924574,-48.274977,MG,Uberlandia,LIDICE,RUA DOUTOR LACERDA
